序号,固定名字,稀有度,描述,基础价格
627,古代舞蹈家大师,史诗,掌握古代舞蹈的大师，舞姿能够沟通天地。,84.95
628,古代诗人大师,史诗,掌握古代诗歌的大师，吟唱能够改变命运。,86.45
629,古代画家大师,史诗,掌握古代绘画的大师，画作能够化为现实。,87.95
630,古代书法家大师,史诗,掌握古代书法的大师，字迹蕴含道韵。,85.25
631,古代棋手大师,史诗,掌握古代棋艺的大师，对弈能够预知未来。,84.45
632,古代武者大师,史诗,掌握古代武术的大师，肉身成圣。,89.75
633,古代剑术大师,史诗,掌握古代剑术的大师，剑法通神。,90.45
634,古代刀法大师,史诗,掌握古代刀法的大师，刀意纵横。,89.25
635,古代枪术大师,史诗,掌握古代枪术的大师，枪出如龙。,88.75
636,古代弓术大师,史诗,掌握古代弓术的大师，百步穿杨。,87.45
637,古代斧术大师,史诗,掌握古代斧术的大师，开山裂石。,86.85
638,古代锤术大师,史诗,掌握古代锤术的大师，撼天动地。,87.95
639,古代杖术大师,史诗,掌握古代杖术的大师，杖引天地之力。,86.25
640,古代拳法大师,史诗,掌握古代拳法的大师，拳破虚空。,88.45
641,古代腿法大师,史诗,掌握古代腿法的大师，腿扫千军。,85.75
642,古代身法大师,史诗,掌握古代身法的大师，如影随形。,86.95
643,古代内功大师,史诗,掌握古代内功的大师，真气如海。,89.25
644,古代外功大师,史诗,掌握古代外功的大师，金刚不坏。,88.15
645,古代轻功大师,史诗,掌握古代轻功的大师，踏雪无痕。,87.35
646,古代硬气功大师,史诗,掌握古代硬气功的大师，刀枪不入。,86.55
647,古代软气功大师,史诗,掌握古代软气功的大师，以柔克刚。,85.85
648,古代点穴大师,史诗,掌握古代点穴术的大师，一指制敌。,84.95
649,古代针灸大师,史诗,掌握古代针灸术的大师，针到病除。,83.75
650,古代推拿大师,史诗,掌握古代推拿术的大师，手到病除。,82.95
651,古代药剂大师,史诗,掌握古代药剂学的大师，药到病除。,84.25
652,古代手术大师,史诗,掌握古代外科手术的大师，起死回生。,85.75
653,古代诊断大师,史诗,掌握古代诊断学的大师，望闻问切精准。,83.45
654,古代预防大师,史诗,掌握古代预防医学的大师，防病于未然。,82.25
655,古代养生大师,史诗,掌握古代养生学的大师，长寿健康。,84.95
656,古代食疗大师,史诗,掌握古代食物疗法的大师，精通烹饪。,83.22
657,古代运动大师,史诗,掌握古代运动疗法的大师，通过特定运动治疗疾病。,83.15
658,古代心理大师,史诗,掌握古代心理疗法的大师，治愈心灵创伤。,82.45
659,古代催眠大师,史诗,掌握古代催眠术的大师，能够控制他人意识。,85.25
660,古代冥想大师,史诗,掌握古代冥想术的大师，能够进入深度冥想状态。,84.75
661,古代瑜伽大师,史诗,掌握古代瑜伽术的大师，身体柔韧如棉。,83.95
662,古代气功大师,史诗,掌握古代气功疗法的大师，通过真气治疗疾病。,85.45
663,古代音乐疗法大师,史诗,掌握古代音乐疗法的大师，通过音乐治愈身心。,82.85
664,古代色彩疗法大师,史诗,掌握古代色彩疗法的大师，通过颜色影响情绪。,81.75
665,古代芳香疗法大师,史诗,掌握古代芳香疗法的大师，通过香气治疗疾病。,82.25
666,古代水晶疗法大师,史诗,掌握古代水晶疗法的大师，通过水晶能量治疗。,83.55
667,古代磁场疗法大师,史诗,掌握古代磁场疗法的大师，通过磁场调节身体。,82.95
668,古代水疗法大师,史诗,掌握古代水疗法的大师，通过水治疗疾病。,81.45
669,古代热疗法大师,史诗,掌握古代热疗法的大师，通过热量治疗疾病。,82.75
670,古代冷疗法大师,史诗,掌握古代冷疗法的大师，通过低温治疗疾病。,81.95
671,古代光疗法大师,史诗,掌握古代光疗法的大师，通过特定光线治疗。,83.25
672,古代电疗法大师,史诗,掌握古代电疗法的大师，通过微弱电流治疗。,82.55
673,古代磁疗法大师,史诗,掌握古代磁疗法的大师，通过磁石治疗疾病。,81.85
674,古代声疗法大师,史诗,掌握古代声疗法的大师，通过特定声音治疗。,82.15
675,古代频率疗法大师,史诗,掌握古代频率疗法的大师，通过特定频率治疗。,83.65
676,古代能量疗法大师,史诗,掌握古代能量疗法的大师，通过能量场治疗。,84.25
677,古代信仰疗法大师,史诗,掌握古代信仰疗法的大师，通过信仰力量治疗。,82.95
678,古代自然疗法大师,史诗,掌握古代自然疗法的大师，利用自然元素治疗。,83.75
679,古代草药大师,史诗,掌握古代草药学的大师，认识所有草药特性。,85.95
680,古代矿物药大师,史诗,掌握古代矿物药学的大师，利用矿物治疗疾病。,84.45
681,古代动物药大师,史诗,掌握古代动物药学的大师，利用动物部分治疗疾病。,83.25
682,古代昆虫药大师,史诗,掌握古代昆虫药学的大师，利用昆虫治疗疾病。,82.55
683,古代海洋药大师,史诗,掌握古代海洋药学的大师，利用海洋生物治疗。,83.85
684,古代真菌药大师,史诗,掌握古代真菌药学的大师，利用真菌治疗疾病。,82.75
685,古代细菌药大师,史诗,掌握古代细菌药学的大师，利用微生物治疗疾病。,81.95
686,古代病毒药大师,史诗,掌握古代病毒药学的大师，利用病毒治疗疾病。,82.25
687,古代基因药大师,史诗,掌握古代基因药学的大师，通过基因治疗疾病。,85.75
688,古代细胞药大师,史诗,掌握古代细胞药学的大师，通过细胞治疗疾病。,84.95
689,古代组织药大师,史诗,掌握古代组织药学的大师，通过组织移植治疗。,83.85
690,古代器官药大师,史诗,掌握古代器官药学的大师，通过器官移植治疗。,85.25
691,古代系统药大师,史诗,掌握古代系统药学的大师，通过调节系统治疗。,84.15
692,古代整体药大师,史诗,掌握古代整体药学的大师，将人体视为整体治疗。,83.45
693,古代局部药大师,史诗,掌握古代局部药学的大师，针对局部病灶治疗。,82.75
694,古代急性药大师,史诗,掌握古代急性病症药学的大师，快速治疗急症。,84.95
695,古代慢性药大师,史诗,掌握古代慢性病症药学的大师，长期调理慢性病。,83.25
696,古代预防药大师,史诗,掌握古代预防药学的大师，制作预防疾病药物。,82.55
697,古代保健药大师,史诗,掌握古代保健药学的大师，制作保健养生药物。,83.75
698,古代美容药大师,史诗,掌握古代美容药学的大师，制作美容养颜药物。,84.25
699,古代长寿药大师,史诗,掌握古代长寿药学的大师，研究延长寿命药物。,87.95
700,古代复活药大师,史诗,掌握古代复活药学的大师，研究起死回生药物。,89.45
701,天理维系者,传说,维系提瓦特世界法则的至高存在，拥有修改世界规则的力量。,850.75
702,法涅斯,传说,原初之神，创造提瓦特世界的第一位神明，现已不知所踪。,920.45
703,四影,传说,原初之神法涅斯的四个影子，分别代表生命的不同侧面。,880.25
704,第一王座,传说,提瓦特最初的统治体系，由法涅斯及其影子建立。,890.95
705,第二王座,传说,与第一王座发生战争并获胜的新统治体系，身份成谜。,900.75
706,葬火之年,传说,指第一王座与第二王座发生大战的时期，世界几乎毁灭。,870.45
707,禁忌知识,传说,来自世界之外的危险知识，会腐蚀接触者的心智。,860.25
708,深渊力量,传说,与世界本源对立的力量，能够侵蚀和扭曲现实。,880.95
709,元素龙王,传说,提瓦特世界最初的统治者，七元素力量的原始主宰。,910.75
710,七神体系,传说,击败元素龙王后建立的尘世七执政管理体系。,890.25
711,神之心,传说,尘世七执政的力量核心，与天空岛连接的信物。,950.45
712,神之眼,传说,神明赐予凡人的外置魔力器官，允许使用者引导元素力。,820.75
713,邪眼,传说,愚人众研发的仿制神之眼，以生命力为代价使用元素力。,830.95
714,世界树,传说,记录提瓦特一切信息的巨大树木，位于须弥地底。,940.25
715,地脉,传说,贯穿提瓦特世界的能量网络，连接所有地点和时空。,870.75
716,地脉之花,传说,地脉能量在地表的显现，击败魔物后可以获取奖励。,820.45
717,传送锚点,传说,古代文明留下的传送装置，连接提瓦特地脉网络。,840.95
718,七天神像,传说,供奉尘世七执政的神像，能够恢复旅行者状态并与元素共鸣。,850.25
719,天空岛,传说,悬浮在提瓦特上空的岛屿，神明居住之地。,980.75
720,暗之外海,传说,提瓦特世界之外的混沌区域，充满未知和危险。,860.45
721,提瓦特边界,传说,提瓦特世界的边缘，法则逐渐模糊的区域。,840.25
722,时间之执政,传说,掌管时间法则的古老神明，能够操纵时间流动。,920.95
723,空间之执政,传说,掌管空间法则的古老神明，能够扭曲空间结构。,910.75
724,生命之执政,传说,掌管生命法则的古老神明，能够创造和终结生命。,930.45
725,死亡之执政,传说,掌管死亡法则的古老神明，能够决定生灵的终结。,920.25
726,命运之执政,传说,掌管命运法则的古老神明，能够编织和修改命运线。,940.95
727,因果之执政,传说,掌管因果法则的古老神明，能够连接原因和结果。,930.75
728,轮回之执政,传说,掌管轮回法则的古老神明，能够控制生死轮回。,920.45
729,创造之执政,传说,掌管创造法则的古老神明，能够无中生有创造万物。,950.25
730,毁灭之执政,传说,掌管毁灭法则的古老神明，能够将存在彻底抹除。,940.95
731,秩序之执政,传说,掌管秩序法则的古老神明，能够制定和维护规则。,930.75
732,混沌之执政,传说,掌管混沌法则的古老神明，能够制造混乱和无序。,920.45
733,光明之执政,传说,掌管光明法则的古老神明，能够驱散一切黑暗。,910.25
734,黑暗之执政,传说,掌管黑暗法则的古老神明，能够吞噬一切光明。,900.95
735,真实之执政,传说,掌管真实法则的古老神明，能够分辨一切真伪。,920.75
736,虚幻之执政,传说,掌管虚幻法则的古老神明，能够制造幻象和假象。,910.45
737,过去之执政,传说,掌管过去时间段的古老神明，能够访问历史时刻。,930.25
738,现在之执政,传说,掌管现在时间点的古老神明，能够影响当下现实。,920.95
739,未来之执政,传说,掌管未来时间线的古老神明，能够预知可能发生的事件。,940.75
740,平行之执政,传说,掌管平行世界的古老神明，能够穿越不同世界线。,930.45
741,维度之执政,传说,掌管维度法则的古老神明，能够操纵空间维度。,950.25
742,能量之执政,传说,掌管能量法则的古老神明，能够转化和控制能量。,940.95
743,物质之执政,传说,掌管物质法则的古老神明，能够改变物质形态。,930.75
744,精神之执政,传说,掌管精神法则的古老神明，能够影响思维和意识。,920.45
745,灵魂之执政,传说,掌管灵魂法则的古老神明，能够操纵灵魂本质。,950.25
746,概念之执政,传说,掌管概念法则的古老神明，能够定义和修改概念。,960.95
747,逻辑之执政,传说,掌管逻辑法则的古老神明，能够制定和修改逻辑。,950.75
748,数学之执政,传说,掌管数学法则的古老神明，能够操纵数字和公式。,940.45
749,物理之执政,传说,掌管物理法则的古老神明，能够修改物理定律。,960.25
750,化学之执政,传说,掌管化学法则的古老神明，能够控制化学反应。,950.95
751,生物之执政,传说,掌管生物法则的古老神明，能够操纵生命进化。,960.75
752,地质之执政,传说,掌管地质法则的古老神明，能够改变地形地貌。,950.45
753,天文之执政,传说,掌管天文法则的古老神明，能够操纵星辰运行。,970.25
754,气象之执政,传说,掌管气象法则的古老神明，能够控制天气变化。,960.95
755,海洋之执政,传说,掌管海洋法则的古老神明，能够操纵所有海域。,970.75
756,陆地之执政,传说,掌管陆地法则的古老神明，能够控制大陆变迁。,960.45
757,天空之执政,传说,掌管天空法则的古老神明，能够操纵大气和云层。,970.25
758,大地之执政,传说,掌管大地法则的古老神明，能够控制地壳运动。,960.95
759,火焰之执政,传说,掌管火焰法则的古老神明，能够创造和控制火焰。,950.75
760,水流之执政,传说,掌管水流法则的古老神明，能够创造和控制水流。,960.45
761,狂风之执政,传说,掌管狂风法则的古老神明，能够创造和控制风暴。,970.25
762,雷霆之执政,传说,掌管雷霆法则的古老神明，能够创造和控制雷电。,960.95
763,冰雪之执政,传说,掌管冰雪法则的古老神明，能够创造和控制冰雪.,970.75
764,岩土之执政,传说,掌管岩土法则的古老神明，能够创造和控制岩石土壤。,960.45
765,草木之执政,传说,掌管草木法则的古老神明，能够创造和控制植物生长。,970.25
766,金属之执政,传说,掌管金属法则的古老神明，能够创造和控制金属。,960.95
767,光明之执政,传说,掌管光明法则的古老神明，能够创造和控制光线.,970.75
768,黑暗之执政,传说,掌管黑暗法则的古老神明，能够创造和控制阴影.,960.45
769,时间之沙,传说,时间之执政使用的神器，能够加速、减速或停止时间.,980.25
770,空间之匙,传说,空间之执政使用的神器，能够打开任何空间通道.,970.95
771,生命之泉,传说,生命之执政使用的神器，能够赋予无生命物体生命.,980.75
772,死亡之镰,传说,死亡之执政使用的神器，能够收割任何生灵的灵魂.,970.45
773,命运之线,传说,命运之执政使用的神器，能够编织和剪断命运线.,980.25
774,因果之轮,传说,因果之执政使用的神器，能够连接和切断因果关系.,970.95
775,轮回之盘,传说,轮回之执政使用的神器，能够控制灵魂的转世轮回.,980.75
776,创造之笔,传说,创造之执政使用的神器，能够画出任何存在的物体.,970.45
777,毁灭之锤,传说,毁灭之执政使用的神器，能够粉碎任何存在的事物.,980.25
778,秩序之尺,传说,秩序之执政使用的神器，能够衡量和制定规则.,970.95
779,混沌之球,传说,混沌之执政使用的神器，能够制造混乱和无序.,980.75
780,光明之冠,传说,光明之执政使用的神器，能够发出驱散一切黑暗的光芒.,970.45
781,黑暗之袍,传说,黑暗之执政使用的神器，能够吸收一切光线和能量.,980.25
782,真实之镜,传说,真实之执政使用的神器，能够映照出一切事物的真实面目.,970.95
783,虚幻之纱,传说,虚幻之执政使用的神器，能够制造以假乱真的幻象.,980.75
784,过去之书,传说,过去之执政使用的神器，记载着所有已发生的历史.,970.45
785,现在之钟,传说,现在之执政使用的神器，能够定格或加速当下时间.,980.25
786,未来之牌,传说,未来之执政使用的神器，能够预知各种可能的未来.,970.95
787,平行之门,传说,平行之执政使用的神器，能够通往不同的平行世界.,980.75
788,维度之尺,传说,维度之执政使用的神器，能够测量和改变空间维度.,970.45
789,能量之核,传说,能量之执政使用的神器，能够存储和释放无限能量.,980.25
790,物质之炉,传说,物质之执政使用的神器，能够转化任何物质形态.,970.95
791,精神之网,传说,精神之执政使用的神器，能够连接和控制所有意识.,980.75
792,灵魂之瓶,传说,灵魂之执政使用的神器，能够收集和保存灵魂.,970.45
793,概念之笔,传说,概念之执政使用的神器，能够定义和修改概念定义.,980.25
794,逻辑之链,传说,逻辑之执政使用的神器，能够制定和修改逻辑规则.,970.95
795,数学之板,传说,数学之执政使用的神器，上面刻着所有数学公式.,980.75
796,物理之书,传说,物理之执政使用的神器，记载着所有物理定律.,970.45
797,化学之瓶,传说,化学之执政使用的神器，装着所有化学元素和化合物.,980.25
798,生物之种,传说,生物之执政使用的神器，能够生长出任何生物.,970.95
799,地质之锤,传说,地质之执政使用的神器，能够改变地质结构和矿物分布.,980.75
800,天文之镜,传说,天文之执政使用的神器，能够观察任何星辰和天体.,970.45
